timestamp,super_id,stage,model,prompt_tokens,completion_tokens,prompt_cost_usd,completion_cost_usd,total_cost_usd
2025-12-26T11:06:34.839331+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,categorization,gpt-4o,605,118,0.003025,0.00177,0.004795
2025-12-26T11:06:41.014913+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,categorization,gpt-4o,605,118,0.003025,0.00177,0.004795
2025-12-26T11:06:47.406281+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,categorization,gpt-4o,605,117,0.003025,0.001755,0.0047799999999999995
2025-12-26T11:06:55.307063+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,categorization,gpt-4o,605,116,0.003025,0.00174,0.004765
2025-12-26T11:07:03.282013+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,categorization,gpt-4o,605,118,0.003025,0.00177,0.004795
2025-12-26T11:07:10.629268+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,categorization,gpt-4o,605,117,0.003025,0.001755,0.0047799999999999995
2025-12-26T11:07:15.785269+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,categorization,gpt-4o,605,61,0.003025,0.000915,0.00394
2025-12-26T11:08:09.841326+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,detailed_analysis,gpt-4o,1812,266,0.00906,0.00399,0.013049999999999999
2025-12-26T11:08:28.758429+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,detailed_analysis,gpt-4o,1812,277,0.00906,0.004155,0.013215000000000001
2025-12-26T11:08:47.524300+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,detailed_analysis,gpt-4o,1812,302,0.00906,0.00453,0.013590000000000001
2025-12-26T11:09:03.017001+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,detailed_analysis,gpt-4o,1812,271,0.00906,0.004065,0.013125000000000001
2025-12-26T11:09:21.479120+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,detailed_analysis,gpt-4o,1812,283,0.00906,0.004245,0.013305
2025-12-26T11:09:35.772756+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,detailed_analysis,gpt-4o,1812,124,0.00906,0.00186,0.010920000000000001
2025-12-26T11:09:46.855007+00:00,707a89cf-7006-4436-93e2-43f97dc288a1,detailed_analysis,gpt-4o,1812,258,0.00906,0.00387,0.01293
2025-12-26T11:09:37.962712+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,categorization,gpt-4o,605,119,0.003025,0.001785,0.00481
2025-12-26T11:09:44.340974+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,categorization,gpt-4o,605,118,0.003025,0.00177,0.004795
2025-12-26T11:09:50.940811+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,categorization,gpt-4o,605,117,0.003025,0.001755,0.0047799999999999995
2025-12-26T11:09:57.343428+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,categorization,gpt-4o,605,119,0.003025,0.001785,0.00481
2025-12-26T11:10:03.913413+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,categorization,gpt-4o,605,119,0.003025,0.001785,0.00481
2025-12-26T11:10:10.693865+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,categorization,gpt-4o,605,117,0.003025,0.001755,0.0047799999999999995
2025-12-26T11:10:15.860767+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,categorization,gpt-4o,605,64,0.003025,0.00096,0.003985
2025-12-26T11:11:10.342666+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,detailed_analysis,gpt-4o,1812,286,0.00906,0.00429,0.01335
2025-12-26T11:11:28.304544+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,detailed_analysis,gpt-4o,1812,293,0.00906,0.004395,0.013455
2025-12-26T11:11:46.675646+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,detailed_analysis,gpt-4o,1812,290,0.00906,0.00435,0.01341
2025-12-26T11:12:01.812275+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,detailed_analysis,gpt-4o,1812,149,0.00906,0.002235,0.011295
2025-12-26T11:12:14.577606+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,detailed_analysis,gpt-4o,1812,238,0.00906,0.00357,0.01263
2025-12-26T11:12:30.227506+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,detailed_analysis,gpt-4o,1812,154,0.00906,0.00231,0.01137
2025-12-26T11:12:41.469104+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,detailed_analysis,gpt-4o,1812,167,0.00906,0.002505,0.011565
2025-12-26T11:12:54.366932+00:00,3434a00e-0700-40d8-95ba-9e38b0ea5695,detailed_analysis,gpt-4o,1812,283,0.00906,0.004245,0.013305
